year,ai_value,unemployment_value
2024,9.8,0.7
2024,9.8,
2024,9.8,
2024,9.8,
2024,9.8,
2024,9.8,
2024,9.8,
2024,9.8,
2024,9.8,
2024,28.1,
2024,28.1,1.9
2024,28.1,1.3
2024,28.1,0.6
2024,28.1,
2024,28.1,1.7
2024,28.1,1.3
2024,28.1,0.6
2024,28.1,
2024,28.1,2.2
2024,28.1,1.3
2024,28.1,0.6
2024,28.1,
2024,28.1,
2024,28.1,1.4
2024,28.1,
2024,28.1,
2024,28.1,
2024,28.1,1.6
2024,28.1,
2024,28.1,
2024,28.1,
2024,28.1,
2024,28.1,
2024,28.1,
2024,28.1,2.9
2024,28.1,1.3
2024,28.1,0.5
2024,28.1,
2024,28.1,2.9
2024,28.1,1.1
2024,28.1,0.5
2024,28.1,
2024,28.1,
2024,28.1,1.4
2024,28.1,0.6
2024,28.1,
2024,28.1,1.3
2024,28.1,1.2
2024,28.1,0.7
2024,28.1,
2024,28.1,
2024,28.1,
2024,28.1,
2024,28.1,
2024,28.1,
2024,28.1,
2024,28.1,
2023,0.7,
2023,0.7,2.6
2023,0.7,1.4
2023,0.7,0.6
2023,0.7,
2023,0.7,2.9
2023,0.7,1.4
2023,0.7,0.6
2023,0.7,
2023,0.7,2.1
2023,0.7,1.4
2023,0.7,0.5
2023,0.7,
2023,0.7,
2023,0.7,1.4
2023,0.7,
2023,0.7,
2023,0.7,
2023,0.7,1.4
2023,0.7,
2023,0.7,
2023,0.7,
2023,0.7,
2023,0.7,
2023,0.7,
2023,0.7,4.0
2023,0.7,1.5
2023,0.7,0.5
2023,0.7,
2023,0.7,4.0
2023,0.7,1.5
2023,0.7,0.5
2023,0.7,
2023,0.7,
2023,0.7,1.5
2023,0.7,0.5
2023,0.7,
2023,0.7,2.0
2023,0.7,1.2
2023,0.7,0.9
2023,0.7,
2023,0.7,2.1
2023,0.7,
2023,0.7,
2023,0.7,
2023,0.7,
2023,0.7,1.4
2023,0.7,
2023,3.9,
2023,3.9,2.6
2023,3.9,1.4
2023,3.9,0.6
2023,3.9,
2023,3.9,2.9
2023,3.9,1.4
2023,3.9,0.6
2023,3.9,
2023,3.9,2.1
2023,3.9,1.4
2023,3.9,0.5
2023,3.9,
2023,3.9,
2023,3.9,1.4
2023,3.9,
2023,3.9,
2023,3.9,
2023,3.9,1.4
2023,3.9,
2023,3.9,
2023,3.9,
2023,3.9,
2023,3.9,
2023,3.9,
2023,3.9,4.0
2023,3.9,1.5
2023,3.9,0.5
2023,3.9,
2023,3.9,4.0
2023,3.9,1.5
2023,3.9,0.5
2023,3.9,
2023,3.9,
2023,3.9,1.5
2023,3.9,0.5
2023,3.9,
2023,3.9,2.0
2023,3.9,1.2
2023,3.9,0.9
2023,3.9,
2023,3.9,2.1
2023,3.9,
2023,3.9,
2023,3.9,
2023,3.9,
2023,3.9,1.4
2023,3.9,
2023,10.7,
2023,10.7,2.6
2023,10.7,1.4
2023,10.7,0.6
2023,10.7,
2023,10.7,2.9
2023,10.7,1.4
2023,10.7,0.6
2023,10.7,
2023,10.7,2.1
2023,10.7,1.4
2023,10.7,0.5
2023,10.7,
2023,10.7,
2023,10.7,1.4
2023,10.7,
2023,10.7,
2023,10.7,
2023,10.7,1.4
2023,10.7,
2023,10.7,
2023,10.7,
2023,10.7,
2023,10.7,
2023,10.7,
2023,10.7,4.0
2023,10.7,1.5
2023,10.7,0.5
2023,10.7,
2023,10.7,4.0
2023,10.7,1.5
